tag,min,max,mid
KEWP_35BE_TT03E_XM24,483,,
KEWP_35BE_TT03E_XQ01,483,,
KEWP_35BE_TT03F_XQ01,483,,
KEWP_35BE_TT03G_XQ01,483,,
KEWP_35BE_TT04A_XQ01,483,,
KEWP_35BE_TT04B_XQ01,483,,
KEWP_35BE_TT04C_XQ01,483,,
KEWP_35BE_TT04D_XQ01,483,,
KEWP_35BE_TT04E_XQ01,483,,
KEWP_35BE_TT04F_XQ01,483,,
KEWP_35BE_TT04G_XQ01,483,,
KEWP_3535BE_TT05A_XQ01,483,,
KEWP_35BE_TT05B_XQ01,483,,
KEWP_35BE_TT05C_XQ01,483,,
KEWP_35BE_TT05D_XQ01,483,,
KEWP_35BE_TT05E_M_XQ03,483,,
KEWP_35BE_TT05E_XM24,483,,
KEWP_35BE_TT05E_XQ01,483,,
KEWP_35BE_TT05F_XQ01,483,,
KEWP_35BE_TT06A_XQ01,483,,
KEWP_35BE_TT06B_XQ01,483,,
KEWP_35BE_TT06C_XQ01,483,,
KEWP_35BE_TT06D_XQ01,483,,
KEWP_35BE_TT06E_XQ01,483,,
KEWP_35BE_TT06F_XQ01,483,,
KEWP_35BE_TT07A_XQ01,483,,
KEWP_35BE_TT07B_XQ01,483,,
KEWP_35BE_TT07C_XQ01,483,,
KEWP_35BE_TT07D_XQ01,483,,
KEWP_35BE_TT07E_M_XM24,483,,
KEWP_35BE_TT07E_M_XQ03,483,,
KEWP_35BE_TT07E_XQ01,483,,
KEWP_35BE_TT07G_XQ01,483,,
KEWP_35BE_TT08A_XQ01,483,,
KEWP_35BE_TT08B_XQ01,483,,
KEWP_35BE_TT08C_XQ01,483,,
KEWP_35BE_TT08D_XQ01,483,,
KEWP_35BE_TT08E_XQ01,483,,
KEWP_35BE_TT08G_XQ01,483,,
KEWP_35BE_TT09A_XQ01,483,,
KEWP_35BE_TT09B_XQ01,483,,
KEWP_35BE_TT09C_XQ01,483,,
KEWP_35BE_TT09D_XQ01,483,,
KEWP_35BE_TT09G_XQ01,483,,
KEWP_35BE_TT10A_XQ01,483,,
KEWP_35BE_TT10B_XQ01,483,,
KEWP_35BE_TT10C_XQ01,483,,
KEWP_35BE_TT10D_XQ01,483,,
KEWP_35BE_TT10G_XQ01,483,,
KEWP_35BE_TT11A_XQ01,483,,
KEWP_35BE_TT11B_XQ01,483,,
KEWP_35BE_TT11C_XQ01,483,,
KEWP_35BE_TT11D_XQ01,483,,
KEWP_35BE_TT12A_XQ01,483,,
KEWP_35BE_TT12B_XQ01,483,,
KEWP_35BE_TT12C_XQ01,483,,
KEWP_35BE_TT12D_XQ01,483,,
KEWP_35BE_TT13A_XQ01,483,,
KEWP_35BE_TT13B_XQ01,483,,
KEWP_35BE_TT13C_XQ01,483,,
KEWP_35BE_TT13D_XQ01,483,,
KEWP_35BE_TT13G_XQ01,483,,
KEWP_35BE_TT14A_XQ01,483,,
KEWP_35BE_TT14B_XQ01,483,,
KEWP_35BE_TT14C_XQ01,483,,
KEWP_35BE_TT14D_XQ01,483,,
KEWP_35BE_TT14G_XQ01,483,,
KEWP_35BE_TT15A_XQ01,483,,
KEWP_35BE_TT15B_XQ01,483,,
KEWP_35BE_TT15C_XQ01,483,,
